,CLAC3_NM,CLAC2_NM,CLAC1_NM,NUM_PD_C,NUM_CLNT_ID,NUM_CLSE_ID,NUM_BRA_NM,TOT_HITS,TOT_PROFIT,TOT_SALES,AVG_HITS,AVG_PROFIT,F,M,AGE10,AGE20,AGE30,AGE40,AGE50,AGE60,AGE70,AGE80,TOT_SESS_SEQ,TOT_PAGE_VIEW,TOT_SESS_HOUR,AVG_SESS_SEQ,AVG_PAGE_VIEW,AVG_SESS_HOUR,mobile,desktop,tablet,April,May,June,July,August,September,ZON_Daejeon,ZON_Busan,ZON_Gyeonggi-do,ZON_Seoul,ZON_Gyeongsangbuk-do,ZON_Jeollabuk-do,ZON_Chungcheongbuk-do,ZON_Gangwon-do,ZON_Chungcheongnam-do,ZON_Incheon,ZON_Daegu,ZON_Gwangju,ZON_Gyeongsangnam-do,ZON_Jeju-do,ZON_Jeollanam-do,ZON_Ulsan,CITY_Daejeon,CITY_Busan,CITY_Anyang,CITY_Seoul,CITY_Gumi-si,CITY_Buan-gun,CITY_Cheongju-si,CITY_Chuncheon-si,CITY_Cheonan-si,CITY_Incheon,CITY_Daegu,CITY_Wonju-si,CITY_Seongnam-si,CITY_Goyang-si,CITY_Gwangmyeong-si,CITY_Uijeongbu-si,CITY_Namyangju-si,CITY_Jeonju-si,CITY_Cheorwon-gun,CITY_Hwaseong-si,CITY_Gwangju,CITY_Gimhae-si,CITY_Tongyeong-si,CITY_Seogwipo-si,CITY_Ansan-si,CITY_Naju-si,CITY_Ulsan,CITY_Anseong,CITY_Gimcheon-si,CITY_Yongin-si,CITY_Namwon-si,CITY_Bucheon-si,CITY_Gunsan-si,CITY_Yeosu-si,CITY_Sacheon-si,CITY_Osan-si,CITY_Dangjin-si,CITY_Gunpo-si,CITY_Hanam-si,CITY_Gongju-si,CITY_Seocheon-gun,CITY_Yeongi-gun,CITY_Siheung-si,CITY_Paju-si,CITY_Yangsan-si,CITY_Gyeongju-si,CITY_Goseong-gun,CITY_Iksan,CITY_Yeongcheon-si,CITY_Suncheon-si,CITY_Pohang-si,CITY_Pyeongchang-gun,CITY_Suwon-si,CITY_Jincheon-gun,CITY_Nonsan-si,CITY_Mokpo-si,CITY_Muan-gun,CITY_Haman-gun,CITY_Geoje-si,CITY_Chilgok-gun,CITY_Hampyeong-gun,CITY_Gangneung-si,CITY_Ulleung-gun,CITY_Icheon-si,CITY_Chungju-si,CITY_Pyeongtaek-si,CITY_Taean-gun,CITY_Gwangju-si,CITY_Dongducheon-si,CITY_Gwangyang-si,CITY_Gimpo-si,CITY_Jeongeup-si,CITY_Hadong-gun,CITY_Uiwang-si,CITY_Jeju-si,CITY_Gyeongsan-si,CITY_Yeongju-si,CITY_Pocheon-si,CITY_Yangpyeong-gun,CITY_Donghae-si,CITY_Gwacheon-si,CITY_Uiseong-gun,CITY_Jinju-si,CITY_Yecheon-gun,CITY_Asan-si,CITY_Hwacheon-gun,CITY_Sangju-si,CITY_Seosan-si,CITY_Okcheon-gun,CITY_Gimje-si,CITY_Cheongwon-gun,CITY_Gangjin-gun,CITY_Eumseong-gun,CITY_Uljin-gun,CITY_Guri-si,CITY_Inje-gun,CITY_Boeun-gun,CITY_Andong,CITY_Boseong-gun,CITY_Yeongwol-gun,CITY_Buyeo-gun,CITY_Hongseong-gun,CITY_Hapcheon-gun,CITY_Jecheon-si,CITY_Damyang-gun,CITY_Goryeong-gun,CITY_Changnyeong-gun,CITY_Yeongyang-gun,CITY_Yeonggwang-gun,CITY_Uiryeong-gun,CITY_Samcheok-si,CITY_Namhae-gun,CITY_Jangheung-gun,CITY_Yeoncheon-gun,CITY_Mungyeong-si,CITY_Yangju-si,CITY_Jangseong-gun,CITY_Gochang-gun,CITY_Miryang-si,CITY_Boryeong-si,CITY_Yanggu-gun,CITY_Wando-gun,CITY_Jeongseon-gun,CITY_Imsil-gun,CITY_Danyang-gun,CITY_Haenam-gun,CITY_Geochang-gun,CITY_Bonghwa-gun,CITY_Sokcho-si,CITY_Muju-gun,CITY_Yeongam-gun,CITY_Yeoju-gun,CITY_Taebaek-si,CITY_Gokseong-gun,CITY_Yeongdong-gun,CITY_Jeungpyeong-gun,CITY_Hwasun-gun,CITY_Sinan-gun,CITY_Jangsu-gun,CITY_Hamyang-gun,CITY_Hongcheon-gun,CITY_Yesan-gun,CITY_Geumsan-gun,CITY_Wanju-gun,CITY_Jinan-gun,CITY_Gyeryong-si,CITY_Gapyeong-gun,CITY_Sunchang-gun,CITY_Cheongsong-gun,CITY_Seongju-gun,CITY_Goheung-gun,CITY_Yeongdeok-gun,CITY_Yangyang-gun,CITY_Sancheong-gun,CITY_Hoengseong-gun,CITY_Cheongdo-gun,CITY_Goesan-gun,CITY_Jindo-gun,CITY_Gurye-gun,CITY_Cheongyang-gun,CITY_(not set),CITY_Gunwi-gun,CITY_Masan
508,여성등산티셔츠/탑,여성등산/아웃도어의류,스포츠패션,3255,8281,10560,67,1525506,493088190,15910,95.88,30992.34,10078.0,1281.0,38.0,580.0,3224.0,5698.0,1617.0,173.0,25.0,4.0,2742505,1877208.0,32878000.0,172.38,117.99,2066.5,11505.0,4324.0,81.0,3205.0,3379.0,3039.0,2626.0,1846.0,1815.0,469.0,1798.0,2557.0,4697.0,728.0,581.0,297.0,343.0,734.0,625.0,708.0,559.0,946.0,171.0,438.0,259.0,469.0,1798.0,202.0,4697.0,119.0,6.0,134.0,31.0,117.0,625.0,708.0,62.0,144.0,310.0,30.0,108.0,155.0,283.0,9.0,149.0,559.0,339.0,53.0,54.0,145.0,19.0,259.0,36.0,33.0,147.0,8.0,108.0,87.0,63.0,26.0,39.0,20.0,29.0,36.0,244.0,17.0,51.0,120.0,89.0,61.0,69.0,14.0,76.0,16.0,81.0,201.0,24.0,238.0,12.0,41.0,79.0,20.0,203.0,49.0,40.0,11.0,56.0,4.0,34.0,34.0,137.0,5.0,47.0,9.0,41.0,57.0,33.0,6.0,18.0,117.0,48.0,25.0,14.0,23.0,24.0,13.0,8.0,105.0,10.0,98.0,20.0,24.0,50.0,5.0,32.0,28.0,3.0,20.0,11.0,62.0,6.0,2.0,45.0,2.0,15.0,9.0,28.0,8.0,22.0,4.0,9.0,15.0,4.0,13.0,1.0,15.0,6.0,4.0,6.0,22.0,28.0,5.0,10.0,29.0,32.0,7.0,22.0,7.0,2.0,2.0,9.0,16.0,8.0,20.0,6.0,14.0,12.0,9.0,6.0,9.0,15.0,18.0,2.0,4.0,14.0,8.0,6.0,5.0,21.0,8.0,8.0,12.0,5.0,9.0,7.0,6.0,4.0,6.0,5.0,20.0,10.0,14.0,14.0,2.0,3.0,,2.0,
509,여성등산패딩,여성등산/아웃도어의류,스포츠패션,450,1773,2085,31,201735,450290930,2465,81.84,182673.81,1770.0,289.0,2.0,154.0,748.0,951.0,173.0,25.0,4.0,2.0,328963,271519.0,4586371.0,133.45,110.15,1860.6,2105.0,346.0,14.0,104.0,140.0,307.0,159.0,714.0,1041.0,52.0,261.0,508.0,918.0,68.0,59.0,38.0,46.0,74.0,92.0,105.0,73.0,93.0,14.0,34.0,30.0,52.0,261.0,33.0,918.0,13.0,,19.0,12.0,19.0,92.0,105.0,6.0,26.0,30.0,6.0,17.0,31.0,38.0,1.0,115.0,73.0,30.0,1.0,2.0,33.0,2.0,30.0,5.0,4.0,40.0,,21.0,6.0,4.0,3.0,2.0,1.0,17.0,5.0,12.0,1.0,9.0,11.0,9.0,16.0,8.0,1.0,5.0,6.0,6.0,19.0,4.0,48.0,1.0,,9.0,1.0,14.0,13.0,2.0,,5.0,,3.0,1.0,14.0,3.0,4.0,2.0,4.0,9.0,3.0,,5.0,12.0,1.0,5.0,2.0,5.0,5.0,,2.0,5.0,,11.0,1.0,2.0,4.0,3.0,4.0,5.0,,3.0,1.0,8.0,1.0,,2.0,,,1.0,4.0,1.0,2.0,,,3.0,1.0,2.0,1.0,1.0,,,,2.0,2.0,,1.0,6.0,5.0,3.0,3.0,1.0,1.0,,1.0,,,5.0,,,,,1.0,3.0,,1.0,,,,,,2.0,,1.0,2.0,5.0,,,,,,,,,,1.0,,,,,,
510,여성런닝/트레이닝화,여성스포츠화,스포츠패션,6591,26414,32645,115,2940313,3121148447,41623,70.64,74986.15,26453.0,5078.0,217.0,5540.0,11817.0,12092.0,1658.0,176.0,31.0,,5954450,3832073.0,66510494.0,143.06,92.07,1597.93,33123.0,8133.0,367.0,9828.0,8372.0,6635.0,5287.0,4805.0,6696.0,833.0,3899.0,7317.0,18313.0,1264.0,1088.0,519.0,521.0,996.0,1494.0,1591.0,812.0,1533.0,321.0,589.0,533.0,833.0,3899.0,501.0,18313.0,216.0,20.0,229.0,104.0,297.0,1494.0,1591.0,114.0,659.0,719.0,155.0,226.0,396.0,488.0,14.0,339.0,812.0,591.0,52.0,75.0,351.0,43.0,533.0,72.0,57.0,463.0,183.0,568.0,110.0,136.0,21.0,81.0,47.0,166.0,99.0,97.0,15.0,113.0,275.0,163.0,186.0,122.0,53.0,152.0,24.0,86.0,336.0,14.0,583.0,20.0,44.0,127.0,12.0,233.0,114.0,48.0,4.0,75.0,4.0,77.0,74.0,285.0,17.0,118.0,19.0,37.0,179.0,45.0,6.0,51.0,246.0,125.0,81.0,325.0,84.0,21.0,34.0,18.0,156.0,8.0,146.0,13.0,37.0,83.0,7.0,34.0,64.0,7.0,43.0,30.0,198.0,2.0,8.0,75.0,6.0,7.0,15.0,33.0,13.0,44.0,5.0,12.0,27.0,2.0,26.0,5.0,20.0,10.0,5.0,13.0,16.0,63.0,9.0,12.0,60.0,23.0,13.0,17.0,10.0,2.0,1.0,15.0,18.0,4.0,36.0,8.0,15.0,28.0,14.0,2.0,13.0,8.0,11.0,,9.0,12.0,12.0,18.0,15.0,17.0,2.0,30.0,27.0,6.0,13.0,10.0,9.0,14.0,10.0,6.0,12.0,12.0,8.0,8.0,9.0,2.0,1.0,,
511,여성런닝셔츠/캐미솔,여성속옷,속옷/양말/홈웨어,2163,8975,10390,139,1658177,244940640,22295,74.37,10986.35,16043.0,958.0,10.0,1584.0,6322.0,7730.0,1119.0,185.0,51.0,,4006198,2049071.0,38531438.0,179.69,91.91,1728.25,17395.0,4739.0,161.0,3855.0,4652.0,4533.0,4826.0,2684.0,1745.0,619.0,2216.0,3982.0,7902.0,823.0,619.0,469.0,422.0,821.0,846.0,942.0,676.0,1026.0,139.0,455.0,338.0,619.0,2216.0,293.0,7902.0,154.0,6.0,264.0,98.0,214.0,846.0,942.0,99.0,279.0,479.0,68.0,101.0,216.0,338.0,11.0,297.0,676.0,406.0,36.0,26.0,148.0,53.0,338.0,27.0,37.0,336.0,18.0,197.0,94.0,94.0,30.0,42.0,26.0,48.0,55.0,125.0,6.0,86.0,108.0,107.0,93.0,107.0,32.0,75.0,29.0,61.0,183.0,8.0,486.0,21.0,20.0,99.0,17.0,128.0,96.0,20.0,,72.0,6.0,53.0,44.0,158.0,24.0,83.0,25.0,26.0,154.0,20.0,10.0,25.0,113.0,53.0,21.0,21.0,19.0,31.0,23.0,9.0,99.0,11.0,124.0,3.0,34.0,51.0,6.0,13.0,49.0,12.0,40.0,19.0,71.0,7.0,1.0,70.0,2.0,6.0,22.0,37.0,3.0,22.0,3.0,5.0,20.0,2.0,10.0,5.0,6.0,9.0,3.0,,7.0,36.0,3.0,13.0,29.0,26.0,,7.0,3.0,13.0,1.0,15.0,23.0,12.0,23.0,1.0,8.0,20.0,12.0,11.0,15.0,3.0,15.0,1.0,3.0,12.0,27.0,16.0,26.0,12.0,,16.0,7.0,13.0,4.0,8.0,5.0,28.0,1.0,1.0,9.0,4.0,3.0,6.0,4.0,2.0,,,
512,여성레깅스,여성의류하의,여성의류,369,953,1051,82,137253,21246280,1495,91.81,14211.56,1081.0,87.0,,25.0,441.0,577.0,112.0,8.0,5.0,,343699,170525.0,3144970.0,229.9,114.06,2103.66,1181.0,305.0,9.0,360.0,339.0,299.0,186.0,105.0,206.0,37.0,145.0,304.0,532.0,63.0,39.0,19.0,25.0,37.0,53.0,74.0,40.0,57.0,11.0,40.0,19.0,37.0,145.0,15.0,532.0,7.0,2.0,8.0,2.0,10.0,53.0,74.0,4.0,29.0,25.0,5.0,8.0,18.0,14.0,,28.0,40.0,9.0,6.0,1.0,19.0,,19.0,9.0,2.0,25.0,3.0,6.0,11.0,11.0,,6.0,3.0,2.0,5.0,3.0,,3.0,18.0,18.0,8.0,10.0,3.0,7.0,3.0,8.0,12.0,3.0,15.0,,4.0,5.0,1.0,7.0,11.0,2.0,8.0,8.0,,3.0,,9.0,,8.0,,3.0,7.0,,3.0,2.0,10.0,7.0,6.0,3.0,,2.0,9.0,,5.0,,7.0,,3.0,3.0,1.0,1.0,5.0,1.0,,4.0,9.0,,,2.0,,,1.0,,1.0,5.0,,,1.0,,,,,,,,,3.0,,,2.0,,,,,,,,1.0,4.0,2.0,,,,2.0,1.0,,,1.0,,,,2.0,3.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,
513,여성레인부츠/슈즈,여성화,패션잡화,127,775,861,18,67473,40100400,969,69.63,41383.28,763.0,45.0,2.0,62.0,379.0,326.0,31.0,8.0,,,187406,86436.0,1570318.0,193.4,89.2,1620.56,824.0,141.0,4.0,90.0,185.0,395.0,199.0,63.0,37.0,14.0,102.0,171.0,428.0,31.0,17.0,8.0,10.0,12.0,42.0,45.0,20.0,37.0,6.0,13.0,13.0,14.0,102.0,14.0,428.0,3.0,,6.0,1.0,4.0,42.0,45.0,3.0,15.0,20.0,3.0,5.0,11.0,14.0,1.0,10.0,20.0,17.0,1.0,2.0,11.0,,13.0,3.0,3.0,13.0,1.0,10.0,,1.0,,,,2.0,3.0,1.0,,,1.0,7.0,7.0,2.0,,1.0,2.0,,9.0,,13.0,,,3.0,1.0,6.0,3.0,,1.0,4.0,,,,7.0,,,1.0,1.0,12.0,,,3.0,4.0,1.0,2.0,,1.0,,3.0,,1.0,,3.0,,4.0,,,,2.0,,,,1.0,,,2.0,,,,1.0,,,,,1.0,,,,,1.0,,,3.0,1.0,,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,4.0,,,,,
514,여성로퍼,여성화,패션잡화,2108,5564,6333,174,557565,538401930,7041,79.19,76466.69,5611.0,268.0,9.0,760.0,2313.0,2257.0,482.0,50.0,8.0,,1147900,704943.0,12176730.0,163.03,100.12,1729.4,5971.0,1042.0,28.0,1749.0,1400.0,887.0,480.0,854.0,1671.0,153.0,666.0,1183.0,2820.0,215.0,221.0,106.0,112.0,184.0,299.0,295.0,156.0,305.0,68.0,126.0,132.0,153.0,666.0,94.0,2820.0,31.0,,53.0,34.0,62.0,299.0,295.0,25.0,92.0,133.0,24.0,31.0,66.0,128.0,1.0,64.0,156.0,125.0,13.0,12.0,60.0,6.0,132.0,11.0,8.0,110.0,8.0,74.0,27.0,30.0,1.0,14.0,13.0,25.0,15.0,14.0,,22.0,33.0,36.0,40.0,35.0,4.0,33.0,5.0,21.0,39.0,6.0,130.0,1.0,6.0,26.0,7.0,47.0,19.0,5.0,1.0,18.0,11.0,11.0,11.0,32.0,11.0,26.0,5.0,7.0,36.0,8.0,,4.0,56.0,12.0,13.0,6.0,6.0,3.0,7.0,5.0,28.0,1.0,15.0,1.0,7.0,13.0,2.0,5.0,20.0,2.0,3.0,4.0,23.0,1.0,1.0,17.0,,1.0,4.0,6.0,,8.0,2.0,3.0,5.0,,,5.0,8.0,6.0,1.0,,3.0,7.0,3.0,2.0,11.0,5.0,,3.0,,1.0,1.0,5.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,,,6.0,2.0,6.0,7.0,1.0,2.0,7.0,,2.0,3.0,2.0,3.0,,,,2.0,3.0,1.0,2.0,3.0,,2.0,
515,여성바지,여성의류하의,여성의류,22276,43789,63679,633,7967087,3103045840,84845,93.9,36573.11,63270.0,3568.0,59.0,3562.0,22927.0,31747.0,7692.0,771.0,80.0,,19586067,10056487.0,169765740.0,230.85,118.53,2000.89,67713.0,16713.0,419.0,13301.0,16079.0,19061.0,17854.0,10477.0,8073.0,2073.0,9120.0,14560.0,30223.0,3020.0,3033.0,1423.0,1454.0,2447.0,3125.0,3487.0,2646.0,4323.0,535.0,1851.0,1525.0,2073.0,9120.0,1029.0,30223.0,452.0,55.0,654.0,326.0,658.0,3125.0,3487.0,313.0,1215.0,1518.0,244.0,544.0,989.0,1476.0,35.0,1007.0,2646.0,1648.0,168.0,131.0,564.0,125.0,1525.0,176.0,167.0,1212.0,94.0,745.0,448.0,316.0,81.0,178.0,127.0,238.0,294.0,304.0,27.0,299.0,470.0,371.0,552.0,339.0,54.0,516.0,95.0,367.0,814.0,47.0,1417.0,40.0,83.0,370.0,95.0,672.0,351.0,79.0,11.0,182.0,38.0,155.0,248.0,424.0,66.0,284.0,76.0,141.0,526.0,148.0,27.0,107.0,404.0,238.0,105.0,112.0,78.0,109.0,55.0,26.0,427.0,29.0,304.0,36.0,112.0,153.0,28.0,58.0,180.0,38.0,58.0,80.0,274.0,11.0,9.0,211.0,11.0,18.0,35.0,116.0,29.0,133.0,24.0,43.0,66.0,14.0,26.0,9.0,98.0,36.0,26.0,23.0,48.0,134.0,27.0,24.0,139.0,87.0,7.0,22.0,18.0,25.0,8.0,58.0,50.0,14.0,81.0,20.0,29.0,59.0,33.0,14.0,17.0,31.0,72.0,14.0,11.0,23.0,87.0,69.0,26.0,122.0,4.0,82.0,42.0,32.0,30.0,18.0,28.0,44.0,21.0,7.0,16.0,21.0,17.0,24.0,13.0,11.0,,3.0,
516,여성발가락양말,여성양말류,속옷/양말/홈웨어,67,551,585,13,103414,6478950,1785,57.94,3629.66,1202.0,220.0,,139.0,625.0,487.0,155.0,16.0,,,331675,130202.0,2583227.0,185.81,72.94,1447.19,1430.0,342.0,13.0,303.0,418.0,425.0,287.0,206.0,146.0,23.0,157.0,238.0,658.0,125.0,39.0,21.0,26.0,52.0,101.0,86.0,80.0,106.0,7.0,47.0,19.0,23.0,157.0,28.0,658.0,4.0,,10.0,11.0,11.0,101.0,86.0,4.0,33.0,13.0,,8.0,12.0,20.0,,22.0,80.0,41.0,,,13.0,8.0,19.0,,,7.0,,10.0,9.0,12.0,1.0,7.0,3.0,8.0,,,,3.0,2.0,11.0,3.0,,,10.0,,16.0,46.0,,29.0,,,3.0,,24.0,20.0,2.0,,,,,3.0,12.0,,,,,3.0,,3.0,,7.0,2.0,50.0,,,,,,3.0,,2.0,,,5.0,,,2.0,,,8.0,12.0,,,3.0,,,4.0,4.0,,,,,,,,,,2.0,,1.0,,5.0,,,,,,4.0,1.0,,,,9.0,,,,3.0,2.0,,,6.0,,,,,,,5.0,10.0,,,5.0,,,,,,10.0,10.0,,,,,,1.0,,,,
517,여성방한화,여성화,패션잡화,176,297,342,23,28174,31572200,403,69.91,78342.93,208.0,105.0,1.0,23.0,105.0,155.0,25.0,3.0,1.0,,52725,35086.0,691510.0,130.83,87.06,1715.91,322.0,78.0,3.0,75.0,55.0,48.0,25.0,60.0,140.0,2.0,47.0,82.0,166.0,14.0,7.0,2.0,6.0,19.0,10.0,11.0,4.0,22.0,2.0,5.0,4.0,2.0,47.0,3.0,166.0,,,1.0,1.0,4.0,10.0,11.0,,7.0,7.0,,5.0,8.0,5.0,1.0,1.0,4.0,9.0,,,3.0,,4.0,,,8.0,,7.0,1.0,2.0,,,,3.0,1.0,1.0,,5.0,3.0,4.0,1.0,1.0,,,,,6.0,,11.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,4.0,,,2.0,2.0,,,,,,,,6.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,2.0,,,,,,,,,,1.0,,3.0,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,2.0,,,,,3.0,,,,,,2.0,,2.0,,,,,,,,2.0,
518,여성백팩,여성가방,패션잡화,1474,2670,3023,169,253629,535123414,3378,75.08,158414.27,2285.0,409.0,2.0,314.0,1053.0,1110.0,189.0,23.0,3.0,,562636,331308.0,5755171.0,166.56,98.08,1703.72,2734.0,633.0,11.0,683.0,584.0,560.0,558.0,553.0,440.0,79.0,388.0,567.0,1350.0,94.0,101.0,50.0,40.0,73.0,174.0,148.0,83.0,116.0,28.0,45.0,42.0,79.0,388.0,51.0,1350.0,20.0,,30.0,12.0,22.0,174.0,148.0,12.0,35.0,49.0,12.0,14.0,41.0,49.0,,22.0,83.0,37.0,3.0,6.0,24.0,6.0,42.0,4.0,2.0,37.0,1.0,53.0,17.0,11.0,5.0,8.0,8.0,21.0,8.0,9.0,,14.0,18.0,21.0,14.0,9.0,2.0,26.0,2.0,4.0,21.0,1.0,38.0,1.0,,9.0,2.0,16.0,9.0,1.0,,2.0,,7.0,6.0,23.0,,5.0,1.0,2.0,37.0,2.0,2.0,6.0,22.0,5.0,5.0,3.0,3.0,,2.0,,17.0,,8.0,,12.0,5.0,,,5.0,,4.0,3.0,9.0,1.0,,4.0,,1.0,,2.0,1.0,4.0,,,1.0,,1.0,2.0,1.0,,,2.0,2.0,6.0,1.0,1.0,7.0,1.0,,,,1.0,,,,1.0,5.0,,,4.0,1.0,,,,3.0,,,1.0,2.0,1.0,,4.0,,3.0,1.0,,,4.0,2.0,3.0,1.0,,,,,,4.0,,2.0,,
519,여성베스트,여성의류상의,여성의류,2014,3858,4553,297,480854,283606370,5299,90.74,53520.73,3804.0,250.0,4.0,108.0,917.0,2222.0,707.0,82.0,14.0,,1096691,612037.0,10708746.0,206.96,115.5,2020.9,4080.0,1196.0,23.0,1399.0,1189.0,685.0,480.0,441.0,1105.0,104.0,602.0,960.0,1746.0,216.0,173.0,98.0,87.0,161.0,214.0,252.0,146.0,263.0,38.0,127.0,112.0,104.0,602.0,78.0,1746.0,34.0,,65.0,12.0,37.0,214.0,252.0,12.0,83.0,102.0,14.0,26.0,85.0,90.0,,50.0,146.0,111.0,11.0,9.0,27.0,14.0,112.0,8.0,7.0,87.0,3.0,48.0,26.0,20.0,3.0,10.0,8.0,13.0,12.0,17.0,5.0,25.0,24.0,35.0,30.0,20.0,7.0,22.0,5.0,20.0,53.0,5.0,101.0,4.0,13.0,20.0,5.0,33.0,15.0,5.0,,11.0,11.0,11.0,14.0,27.0,1.0,21.0,,11.0,31.0,5.0,4.0,9.0,29.0,8.0,6.0,7.0,8.0,8.0,9.0,3.0,27.0,1.0,21.0,5.0,10.0,9.0,,12.0,3.0,1.0,3.0,6.0,15.0,3.0,2.0,27.0,1.0,,2.0,5.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,2.0,8.0,1.0,2.0,12.0,8.0,,3.0,1.0,1.0,2.0,7.0,1.0,3.0,4.0,,3.0,2.0,4.0,2.0,,1.0,5.0,2.0,,,10.0,4.0,,12.0,,4.0,8.0,,3.0,4.0,3.0,1.0,1.0,1.0,,2.0,,2.0,2.0,2.0,,2.0,
520,여성부츠,여성화,패션잡화,1215,3431,3972,208,324632,479743680,4509,72.0,106396.91,3643.0,221.0,3.0,197.0,1236.0,1890.0,501.0,31.0,5.0,1.0,765972,440885.0,7715225.0,169.88,97.78,1711.07,3921.0,569.0,19.0,632.0,591.0,706.0,370.0,609.0,1601.0,132.0,523.0,838.0,1590.0,159.0,111.0,81.0,76.0,110.0,182.0,164.0,126.0,217.0,30.0,71.0,99.0,132.0,523.0,46.0,1590.0,22.0,,38.0,23.0,18.0,182.0,164.0,17.0,71.0,100.0,7.0,20.0,52.0,67.0,1.0,40.0,126.0,71.0,6.0,9.0,32.0,3.0,99.0,6.0,9.0,97.0,5.0,57.0,11.0,15.0,7.0,8.0,12.0,18.0,15.0,16.0,,17.0,25.0,27.0,35.0,12.0,4.0,11.0,1.0,18.0,65.0,2.0,92.0,2.0,,3.0,1.0,36.0,17.0,2.0,5.0,12.0,,12.0,15.0,22.0,5.0,15.0,3.0,4.0,26.0,8.0,,7.0,21.0,16.0,7.0,3.0,2.0,8.0,5.0,1.0,19.0,1.0,21.0,,2.0,4.0,3.0,4.0,8.0,4.0,3.0,1.0,21.0,1.0,2.0,9.0,,4.0,,1.0,2.0,5.0,1.0,1.0,11.0,,5.0,,,1.0,2.0,1.0,6.0,5.0,,,5.0,2.0,,1.0,1.0,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,,4.0,3.0,2.0,2.0,,9.0,2.0,,,1.0,1.0,3.0,,2.0,,,1.0,2.0,,,,,
521,여성블라우스,여성의류상의,여성의류,830,2978,3249,135,353620,202912040,3736,94.65,54312.64,2725.0,211.0,2.0,186.0,925.0,1413.0,347.0,61.0,2.0,,730865,441979.0,7627612.0,195.63,118.3,2041.65,2967.0,740.0,29.0,1152.0,845.0,660.0,433.0,329.0,317.0,75.0,402.0,654.0,1371.0,113.0,148.0,56.0,73.0,108.0,156.0,124.0,133.0,161.0,23.0,71.0,68.0,75.0,402.0,56.0,1371.0,16.0,,34.0,11.0,29.0,156.0,124.0,20.0,56.0,55.0,17.0,26.0,34.0,95.0,,47.0,133.0,71.0,8.0,4.0,35.0,11.0,68.0,10.0,7.0,49.0,4.0,31.0,13.0,14.0,,12.0,5.0,12.0,9.0,10.0,3.0,10.0,17.0,14.0,14.0,7.0,1.0,16.0,1.0,10.0,33.0,,73.0,2.0,2.0,11.0,1.0,37.0,6.0,2.0,,19.0,1.0,6.0,4.0,25.0,2.0,7.0,5.0,3.0,21.0,9.0,1.0,2.0,19.0,12.0,6.0,3.0,3.0,4.0,5.0,4.0,9.0,1.0,15.0,1.0,2.0,15.0,,,10.0,,3.0,1.0,13.0,2.0,,12.0,,3.0,1.0,4.0,,1.0,,,4.0,,2.0,,2.0,2.0,2.0,,1.0,2.0,2.0,3.0,3.0,4.0,,2.0,1.0,3.0,,3.0,2.0,,3.0,2.0,1.0,6.0,5.0,1.0,1.0,1.0,6.0,,,3.0,,5.0,1.0,1.0,,2.0,3.0,2.0,1.0,,1.0,4.0,1.0,,1.0,1.0,,1.0,,,,1.0,
